ID,Color ID,Colors
99,"[(39, 42, 18), (32, 37, 17), (27, 33, 9), (34, 38, 10), (43, 45, 26), (51, 71, 65), (59, 59, 34), (69, 92, 84), (41, 81, 94), (91, 127, 117)]",['Small/Transparent']
100,"[(32, 37, 17), (41, 43, 23), (28, 34, 9), (37, 41, 13), (84, 128, 125), (48, 52, 32), (54, 69, 53), (64, 139, 146), (60, 108, 109), (114, 151, 132)]",['steelblue']
101,"[(37, 41, 19), (29, 35, 11), (43, 47, 28), (86, 135, 134), (76, 124, 125), (42, 62, 52), (37, 138, 152), (120, 162, 145), (70, 72, 47), (38, 112, 125)]","['darkcyan', 'lightslategray', 'teal']"
102,"[(35, 40, 17), (42, 45, 24), (29, 35, 10), (86, 133, 133), (49, 54, 35), (55, 71, 56), (65, 121, 126), (54, 145, 158), (22, 108, 128), (118, 162, 145)]","['steelblue', 'teal', 'lightslategray']"
103,"[(42, 45, 25), (33, 38, 19), (29, 35, 10), (38, 42, 15), (90, 134, 131), (49, 54, 35), (58, 71, 54), (76, 147, 151), (138, 172, 144), (69, 111, 109)]",['cadetblue']
104,"[(34, 39, 16), (40, 44, 23), (28, 35, 10), (77, 127, 128), (46, 50, 31), (90, 135, 130), (41, 62, 52), (59, 111, 117), (109, 161, 151), (69, 70, 51)]",['cadetblue']
105,"[(34, 38, 20), (40, 43, 18), (34, 39, 12), (42, 45, 25), (27, 34, 10), (50, 58, 34), (61, 114, 80), (69, 72, 47), (97, 135, 92), (57, 150, 104)]",['Small/Transparent']
106,"[(36, 40, 20), (30, 36, 15), (35, 39, 11), (42, 44, 26), (27, 33, 8), (42, 44, 17), (50, 52, 30), (59, 63, 40), (71, 76, 50), (84, 99, 68)]",['Small/Transparent']
107,"[(32, 37, 16), (37, 41, 22), (40, 42, 16), (27, 33, 9), (34, 38, 9), (45, 47, 25), (71, 86, 65), (59, 60, 37), (90, 100, 77), (121, 141, 110)]",['Small/Transparent']
108,"[(35, 39, 19), (30, 36, 15), (41, 43, 24), (35, 39, 10), (41, 43, 17), (27, 33, 8), (49, 51, 28), (65, 65, 40), (81, 102, 88), (42, 72, 76)]",['Small/Transparent']
109,"[(33, 38, 18), (39, 42, 16), (29, 35, 9), (41, 45, 26), (61, 82, 72), (81, 98, 81), (56, 58, 34), (106, 117, 91), (22, 69, 90), (138, 142, 103)]",['Small/Transparent']
110,"[(35, 39, 18), (30, 35, 14), (35, 39, 10), (39, 42, 24), (41, 43, 17), (27, 33, 7), (46, 48, 26), (59, 60, 36), (76, 84, 62), (115, 124, 93)]",['Small/Transparent']
111,"[(39, 41, 20), (32, 37, 16), (28, 34, 9), (36, 40, 12), (45, 47, 25), (213, 224, 176), (56, 57, 34), (75, 75, 49), (188, 200, 153), (154, 156, 115)]",['Small/Transparent']
112,"[(34, 39, 15), (40, 43, 21), (28, 35, 10), (47, 49, 28), (159, 172, 134), (61, 64, 41), (172, 185, 143), (144, 159, 120), (82, 83, 59), (119, 133, 99)]",['Small/Transparent']
113,"[(34, 38, 15), (40, 43, 20), (28, 34, 9), (47, 48, 27), (218, 237, 189), (67, 66, 41), (159, 166, 131), (177, 212, 175), (111, 119, 91), (48, 78, 146)]",['darkslateblue']
114,"[(37, 40, 18), (30, 35, 11), (45, 47, 26), (214, 237, 192), (200, 226, 181), (63, 66, 45), (171, 190, 151), (123, 138, 113), (34, 128, 155), (118, 189, 182)]","['lightgray', 'lightgray', 'darkcyan', 'mediumaquamarine']"
115,"[(34, 38, 18), (42, 44, 22), (28, 34, 10), (38, 42, 12), (119, 200, 3), (53, 54, 30), (49, 66, 8), (72, 76, 48), (90, 140, 9), (172, 205, 117)]","['lawngreen', 'darkgreen', 'olivedrab', 'darkkhaki']"
116,"[(42, 43, 21), (33, 37, 17), (28, 34, 9), (37, 40, 12), (193, 15, 2), (51, 51, 28), (200, 26, 6), (67, 33, 10), (73, 70, 45), (139, 18, 5)]","['firebrick', 'firebrick', 'maroon', 'darkred']"
117,"[(35, 39, 19), (30, 35, 14), (34, 39, 10), (40, 42, 23), (41, 43, 16), (27, 33, 7), (47, 48, 26), (61, 61, 37), (78, 87, 65), (113, 121, 91)]",['Small/Transparent']
118,"[(31, 36, 16), (37, 40, 21), (39, 41, 14), (26, 32, 8), (33, 38, 9), (44, 46, 24), (70, 84, 64), (59, 59, 35), (91, 99, 75), (119, 135, 105)]",['Small/Transparent']
