Filename,MaxFeret,MinFeret,SolidArea
641_processed.jpeg,inf,inf,inf
642_processed.jpeg,inf,inf,inf
643_processed.jpeg,inf,inf,inf
644_processed.jpeg,inf,inf,inf
645_processed.jpeg,inf,inf,inf
646_processed.jpeg,inf,inf,inf
647_processed.jpeg,inf,inf,inf
648_processed.jpeg,inf,inf,inf
649_processed.jpeg,inf,inf,inf
64_processed.jpeg,inf,inf,inf
650_processed.jpeg,inf,inf,inf
651_processed.jpeg,inf,inf,inf
652_processed.jpeg,inf,inf,inf
653_processed.jpeg,inf,inf,inf
654_processed.jpeg,inf,inf,inf
655_processed.jpeg,inf,inf,inf
656_processed.jpeg,inf,inf,inf
657_processed.jpeg,inf,inf,inf
658_processed.jpeg,inf,inf,inf
659_processed.jpeg,inf,inf,inf
65_processed.jpeg,inf,inf,inf
660_processed.jpeg,inf,inf,inf
661_processed.jpeg,inf,inf,inf
662_processed.jpeg,inf,inf,inf
663_processed.jpeg,inf,inf,inf
664_processed.jpeg,inf,inf,inf
665_processed.jpeg,inf,inf,inf
666_processed.jpeg,inf,inf,inf
667_processed.jpeg,inf,inf,inf
668_processed.jpeg,inf,inf,inf
669_processed.jpeg,inf,inf,inf
